,Fitness maximo,Fitness minimo,Promedio,Desviación std,Varianza,Diversidad
0,293,0,278.35,63.857869522870864,0.0016499999999999987,0.0016499999999999987
1,274,0,257.56,65.0713946369678,0.0019799999999999987,0.0019799999999999987
2,912,912,912.0,0.0,0.0,0.0
3,912,912,912.0,0.0,0.0,0.0
4,1054,1054,1054.0,0.0,0.0,0.0
5,1054,1054,1054.0,0.0,0.0,0.0
6,1054,1054,1054.0,0.0,0.0,0.0
7,1054,1054,1054.0,0.0,0.0,0.0
8,254,0,70.27,95.40637871756793,0.21402333333333343,0.21402333333333343
9,248,0,57.3,87.77112281382756,0.21084000000000008,0.21084000000000008
10,853,437,704.47,75.7707667903658,0.1877833333333334,0.1877833333333334
11,844,523,709.13,76.05979950013015,0.19040666666666667,0.19040666666666667
12,979,485,813.57,83.28748465405832,0.18696000000000004,0.18696000000000004
13,976,503,795.82,95.66016725889622,0.1923966666666666,0.1923966666666666
14,1039,621,854.51,82.10767260128617,0.16549333333333335,0.16549333333333335
15,972,601,793.31,76.91341820514806,0.19220999999999996,0.19220999999999996
16,237,0,215.67,67.82507722074483,0.002956666666666663,0.002956666666666663
17,255,0,232.05,72.97634890839635,0.0029633333333333304,0.0029633333333333304
18,912,912,912.0,0.0,0.0,0.0
19,912,912,912.0,0.0,0.0,0.0
20,1054,1054,1054.0,0.0,0.0,0.0
21,1054,1054,1054.0,0.0,0.0,0.0
22,1054,1054,1054.0,0.0,0.0,0.0
23,1054,1054,1054.0,0.0,0.0,0.0
24,263,0,89.84,100.00207197853453,0.20154,0.20154
25,234,0,52.77,84.6261017653537,0.21974333333333337,0.21974333333333337
26,888,536,700.82,72.40295297845248,0.1957,0.1957
27,846,504,685.93,65.79608726968497,0.20078666666666667,0.20078666666666667
28,987,664,842.47,67.2620925930795,0.17312333333333335,0.17312333333333335
29,1008,619,829.81,79.32864488947229,0.1784466666666667,0.1784466666666667
30,1011,638,837.14,80.50428808454863,0.17596666666666666,0.17596666666666666
31,1016,508,801.84,81.21166418686418,0.18755000000000005,0.18755000000000005
32,232,0,218.08,55.09694728385595,0.0019733333333333317,0.0019733333333333317
33,266,0,252.7,57.973355949090966,0.0016499999999999987,0.0016499999999999987
34,912,912,912.0,0.0,0.0,0.0
35,912,912,912.0,0.0,0.0,0.0
36,1054,1054,1054.0,0.0,0.0,0.0
37,1054,1054,1054.0,0.0,0.0,0.0
38,1054,1054,1054.0,0.0,0.0,0.0
39,1054,1054,1054.0,0.0,0.0,0.0
40,248,0,53.42,88.99608755445377,0.2158466666666667,0.2158466666666667
41,249,0,63.84,91.91612698542079,0.2100433333333334,0.2100433333333334
42,862,578,738.25,56.26106557824869,0.17336333333333337,0.17336333333333337
43,824,539,699.89,57.91474682669346,0.19469333333333333,0.19469333333333333
44,1029,589,829.43,90.91570326406763,0.17525666666666664,0.17525666666666664
45,982,589,821.58,80.2442745621144,0.17946000000000004,0.17946000000000004
46,970,590,820.02,76.24342332293325,0.18291333333333337,0.18291333333333337
47,976,588,804.9,81.57616073339074,0.19241666666666674,0.19241666666666674
